season_id,season_year,season_type
21946,21946,Regular Season
41946,41946,Playoffs
21947,21947,Regular Season
41947,41947,Playoffs
21948,21948,Regular Season
41948,41948,Playoffs
21949,21949,Regular Season
41949,41949,Playoffs
21950,21950,Regular Season
41950,41950,Playoffs
31950,31950,All-Star
31950,31950,All Star
21951,21951,Regular Season
41951,41951,Playoffs
31951,31951,All-Star
31951,31951,All Star
21952,21952,Regular Season
41952,41952,Playoffs
31952,31952,All-Star
31952,31952,All Star
21953,21953,Regular Season
41953,41953,Playoffs
31953,31953,All-Star
31953,31953,All Star
21954,21954,Regular Season
41954,41954,Playoffs
31954,31954,All-Star
31954,31954,All Star
21955,21955,Regular Season
41955,41955,Playoffs
31955,31955,All-Star
31955,31955,All Star
21956,21956,Regular Season
41956,41956,Playoffs
31956,31956,All-Star
31956,31956,All Star
21957,21957,Regular Season
31957,31957,All-Star
31957,31957,All Star
21958,21958,Regular Season
31958,31958,All-Star
31958,31958,All Star
21959,21959,Regular Season
41959,41959,Playoffs
31959,31959,All-Star
31959,31959,All Star
31960,31960,All-Star
41961,41961,Playoffs
31961,31961,All-Star
31961,31961,All Star
21962,21962,Regular Season
41962,41962,Playoffs
31962,31962,All-Star
31962,31962,All Star
21963,21963,Regular Season
41963,41963,Playoffs
31963,31963,All-Star
21964,21964,Regular Season
31964,31964,All-Star
31964,31964,All Star
21965,21965,Regular Season
41965,41965,Playoffs
31965,31965,All-Star
41966,41966,Playoffs
31966,31966,All-Star
31966,31966,All Star
21967,21967,Regular Season
41967,41967,Playoffs
31967,31967,All-Star
31967,31967,All Star
21968,21968,Regular Season
31968,31968,All-Star
31968,31968,All Star
21969,21969,Regular Season
41969,41969,Playoffs
31969,31969,All-Star
31969,31969,All Star
41970,41970,Playoffs
31970,31970,All-Star
31970,31970,All Star
21971,21971,Regular Season
41971,41971,Playoffs
31971,31971,All Star
21972,21972,Regular Season
41972,41972,Playoffs
31972,31972,All-Star
31972,31972,All Star
21973,21973,Regular Season
41973,41973,Playoffs
31973,31973,All Star
21974,21974,Regular Season
41974,41974,Playoffs
31974,31974,All-Star
31974,31974,All Star
41975,41975,Playoffs
31975,31975,All Star
41976,41976,Playoffs
31976,31976,All-Star
31976,31976,All Star
21977,21977,Regular Season
41977,41977,Playoffs
31977,31977,All-Star
31977,31977,All Star
21978,21978,Regular Season
41978,41978,Playoffs
31978,31978,All-Star
21979,21979,Regular Season
41979,41979,Playoffs
31979,31979,All-Star
31979,31979,All Star
21980,21980,Regular Season
41980,41980,Playoffs
31980,31980,All Star
21981,21981,Regular Season
41981,41981,Playoffs
31981,31981,All-Star
31981,31981,All Star
21982,21982,Regular Season
41982,41982,Playoffs
31982,31982,All-Star
31982,31982,All Star
21983,21983,Regular Season
41983,41983,Playoffs
31983,31983,All-Star
31983,31983,All Star
21984,21984,Regular Season
41984,41984,Playoffs
31984,31984,All-Star
21985,21985,Regular Season
41985,41985,Playoffs
31985,31985,All-Star
31985,31985,All Star
21986,21986,Regular Season
41986,41986,Playoffs
31986,31986,All-Star
31986,31986,All Star
21987,21987,Regular Season
41987,41987,Playoffs
31987,31987,All-Star
31987,31987,All Star
21988,21988,Regular Season
41988,41988,Playoffs
31988,31988,All-Star
31988,31988,All Star
21989,21989,Regular Season
41989,41989,Playoffs
31989,31989,All-Star
31989,31989,All Star
21990,21990,Regular Season
41990,41990,Playoffs
31990,31990,All-Star
31990,31990,All Star
21991,21991,Regular Season
41991,41991,Playoffs
31991,31991,All-Star
31991,31991,All Star
21992,21992,Regular Season
41992,41992,Playoffs
31992,31992,All-Star
31992,31992,All Star
21993,21993,Regular Season
31993,31993,All Star
21994,21994,Regular Season
41994,41994,Playoffs
31994,31994,All-Star
31994,31994,All Star
21995,21995,Regular Season
31995,31995,All-Star
31995,31995,All Star
21996,21996,Regular Season
41996,41996,Playoffs
31996,31996,All-Star
31996,31996,All Star
21997,21997,Regular Season
41997,41997,Playoffs
31997,31997,All Star
21998,21998,Regular Season
41998,41998,Playoffs
21999,21999,Regular Season
31999,31999,All-Star
31999,31999,All Star
22000,22000,Regular Season
42000,42000,Playoffs
32000,32000,All-Star
22001,22001,Regular Season
32001,32001,All-Star
32001,32001,All Star
22002,22002,Regular Season
42002,42002,Playoffs
32002,32002,All-Star
32002,32002,All Star
22003,22003,Regular Season
42003,42003,Playoffs
32003,32003,All-Star
32003,32003,All Star
22004,22004,Regular Season
42004,42004,Playoffs
32004,32004,All-Star
32004,32004,All Star
22005,22005,Regular Season
12005,12005,Pre Season
32005,32005,All-Star
32005,32005,All Star
22006,22006,Regular Season
12006,12006,Pre Season
42006,42006,Playoffs
32006,32006,All-Star
32006,32006,All Star
22007,22007,Regular Season
12007,12007,Pre Season
42007,42007,Playoffs
32007,32007,All-Star
32007,32007,All Star
22008,22008,Regular Season
12008,12008,Pre Season
42008,42008,Playoffs
32008,32008,All-Star
32008,32008,All Star
22009,22009,Regular Season
12009,12009,Pre Season
42009,42009,Playoffs
32009,32009,All-Star
32009,32009,All Star
22010,22010,Regular Season
12010,12010,Pre Season
42010,42010,Playoffs
32010,32010,All-Star
32010,32010,All Star
22011,22011,Regular Season
12011,12011,Pre Season
42011,42011,Playoffs
32011,32011,All Star
12012,12012,Pre Season
42012,42012,Playoffs
32012,32012,All-Star
32012,32012,All Star
22013,22013,Regular Season
12013,12013,Pre Season
42013,42013,Playoffs
32013,32013,All Star
22014,22014,Regular Season
12014,12014,Pre Season
42014,42014,Playoffs
32014,32014,All-Star
32014,32014,All Star
22015,22015,Regular Season
12015,12015,Pre Season
42015,42015,Playoffs
32015,32015,All-Star
32015,32015,All Star
22016,22016,Regular Season
12016,12016,Pre Season
42016,42016,Playoffs
32016,32016,All-Star
32016,32016,All Star
22017,22017,Regular Season
12017,12017,Pre Season
42017,42017,Playoffs
32017,32017,All-Star
32017,32017,All Star
22018,22018,Regular Season
42018,42018,Playoffs
32018,32018,All-Star
32018,32018,All Star
22019,22019,Regular Season
42019,42019,Playoffs
32019,32019,All-Star
22020,22020,Regular Season
12020,12020,Pre Season
42020,42020,Playoffs
32020,32020,All-Star
32020,32020,All Star
22021,22021,Regular Season
12021,12021,Pre Season
42021,42021,Playoffs
32021,32021,All Star
22022,22022,Regular Season
12022,12022,Pre Season
42022,42022,Playoffs
32022,32022,All-Star
32022,32022,All Star
